Date,Time,Open,High,Low,Close,Vol,OI
11/11/2010,17:00:00,1062.25,1062.5,1050.75,1059.75,1775665,2806244
11/12/2010,17:00:00,1059.25,1060.5,1040.25,1044.25,2766115,2812753
11/15/2010,17:00:00,1044.25,1054.5,1041.25,1044.5,2071297,2827290
11/16/2010,17:00:00,1044.0,1044.0,1019.75,1023.5,3168883,2831177
11/17/2010,17:00:00,1024.5,1030.75,1022.0,1026.25,2021219,2779026
11/18/2010,17:00:00,1026.5,1047.75,1025.75,1046.5,2067180,2808354
11/19/2010,17:00:00,1046.25,1048.75,1036.25,1047.0,1733603,2794626
11/22/2010,17:00:00,1051.5,1054.75,1031.25,1046.75,2212329,2773910
11/23/2010,17:00:00,1045.75,1046.5,1023.5,1027.0,2456997,2778957
11/24/2010,17:00:00,1026.75,1046.25,1024.25,1045.25,1821455,2782893
11/26/2010,17:00:00,1047.75,1049.25,1031.25,1032.0,963332,2773708
11/29/2010,17:00:00,1032.0,1042.5,1021.0,1035.25,2491942,2771661
11/30/2010,17:00:00,1035.25,1037.0,1021.75,1028.25,3089404,2792037
12/01/2010,17:00:00,1028.25,1056.5,1025.0,1053.25,2346276,2827756
12/02/2010,17:00:00,1052.75,1072.0,1050.75,1071.5,2037342,2845193
12/03/2010,17:00:00,1071.5,1076.0,1061.75,1072.25,1890658,2855263
12/06/2010,17:00:00,1072.25,1075.5,1065.0,1070.75,1326050,2803507
12/07/2010,17:00:00,1071.5,1083.75,1067.75,1072.0,2449523,2743781
12/08/2010,17:00:00,1071.5,1078.0,1066.0,1077.5,2142544,2518842
12/09/2010,17:00:00,1077.0,1086.75,1075.0,1081.75,1073405,871881
12/10/2010,17:00:00,1081.5,1090.0,1080.5,1089.75,1450096,1279636
12/13/2010,17:00:00,1089.0,1095.75,1085.75,1090.0,1824807,1594522
12/14/2010,17:00:00,1089.75,1096.0,1086.5,1090.5,2008662,1991813
12/15/2010,17:00:00,1090.5,1093.25,1082.5,1085.75,2114241,2245053
12/16/2010,17:00:00,1085.75,1093.5,1081.25,1092.25,1738245,2397297
12/17/2010,17:00:00,1092.25,1094.75,1088.25,1092.25,1340620,2392696
12/20/2010,17:00:00,1093.75,1099.5,1087.75,1095.0,1145804,2422001
12/21/2010,17:00:00,1094.75,1105.0,1094.5,1104.5,943293,2433418
12/22/2010,17:00:00,1103.75,1108.75,1102.75,1108.25,664450,2433411
12/23/2010,17:00:00,1108.25,1109.5,1103.0,1106.75,594048,2437477
12/27/2010,17:00:00,1103.25,1108.0,1099.25,1107.0,587701,2458879
12/28/2010,17:00:00,1107.25,1110.25,1105.25,1107.75,553798,2477060
12/29/2010,17:00:00,1107.75,1112.25,1107.0,1109.5,588441,2475165
12/30/2010,17:00:00,1109.5,1111.25,1105.25,1108.25,713588,2469321
12/31/2010,17:00:00,1108.0,1111.5,1103.25,1106.75,667046,2478376
01/03/2011,17:00:00,1106.75,1126.25,1106.75,1119.0,1591034,2500721
01/04/2011,17:00:00,1118.5,1123.75,1112.0,1119.0,1778621,2495528
01/05/2011,17:00:00,1119.25,1127.5,1109.5,1125.5,1797267,2510775
01/06/2011,17:00:00,1125.5,1130.75,1120.0,1124.0,1614397,2495267
01/07/2011,17:00:00,1123.5,1127.75,1111.5,1121.25,2175596,2505895
01/10/2011,17:00:00,1120.0,1121.75,1111.75,1119.25,1876415,2507962
01/11/2011,17:00:00,1119.25,1127.5,1117.75,1124.25,1662412,2527804
01/12/2011,17:00:00,1123.75,1138.0,1123.0,1137.25,1604117,2557791
01/13/2011,17:00:00,1137.0,1138.25,1130.0,1135.0,1671242,2531081
01/14/2011,17:00:00,1135.0,1143.75,1128.0,1143.25,1631162,2527355
01/18/2011,17:00:00,1139.25,1148.75,1136.5,1148.5,1673094,2563543
01/19/2011,17:00:00,1148.25,1150.0,1128.75,1132.25,2322868,2586802
01/20/2011,17:00:00,1133.0,1135.25,1121.25,1130.0,2534106,2614326
01/21/2011,17:00:00,1129.75,1141.75,1127.0,1133.5,2012431,2594871
01/24/2011,17:00:00,1133.25,1143.5,1131.5,1142.25,1635794,2634978
01/25/2011,17:00:00,1142.25,1145.5,1130.75,1141.25,2360267,2635938
01/26/2011,17:00:00,1141.0,1150.5,1139.75,1147.25,1609255,2646887
01/27/2011,17:00:00,1147.5,1152.0,1143.0,1149.5,1554851,2634255
01/28/2011,17:00:00,1149.0,1153.25,1124.25,1125.25,3238629,2694729
01/31/2011,17:00:00,1125.25,1137.5,1116.0,1136.25,2314420,2666224
02/01/2011,17:00:00,1136.25,1159.75,1135.0,1156.5,2089240,2690241
02/02/2011,17:00:00,1156.0,1159.25,1151.75,1153.75,1396167,2714368
02/03/2011,17:00:00,1154.0,1159.5,1145.25,1157.0,1828391,2692805
02/04/2011,17:00:00,1157.0,1162.25,1151.75,1161.0,1585618,2706640
02/07/2011,17:00:00,1161.0,1173.75,1159.75,1169.5,1501112,2730158
02/08/2011,17:00:00,1168.75,1176.0,1166.75,1175.5,1453914,2754984
02/09/2011,17:00:00,1175.25,1175.75,1165.5,1173.0,1825859,2780883
02/10/2011,17:00:00,1172.25,1174.25,1162.25,1172.5,2055532,2799077
02/11/2011,17:00:00,1172.0,1182.5,1163.75,1181.0,1881031,2799214
02/14/2011,17:00:00,1181.0,1185.0,1178.25,1181.5,1171814,2809512
02/15/2011,17:00:00,1181.75,1183.0,1176.0,1180.0,1457415,2814250
02/16/2011,17:00:00,1180.0,1189.75,1179.5,1186.75,1801087,2845287
02/17/2011,17:00:00,1186.75,1193.75,1182.25,1191.5,1677669,2849648
02/18/2011,17:00:00,1191.5,1196.75,1188.75,1196.25,1516091,2854700
02/22/2011,17:00:00,1196.0,1196.25,1164.0,1168.25,3257861,2898256
02/23/2011,17:00:00,1167.75,1174.25,1151.25,1159.25,3075485,2910101
02/24/2011,17:00:00,1159.5,1164.5,1146.25,1156.5,2903883,2875305
02/25/2011,17:00:00,1156.25,1173.75,1155.25,1172.5,1827557,2871412
02/28/2011,17:00:00,1172.0,1182.75,1166.75,1179.75,1941581,2852603
03/01/2011,17:00:00,1179.75,1190.25,1154.5,1154.75,3054741,2898347
03/02/2011,17:00:00,1155.0,1167.5,1150.0,1159.5,2680941,2915339
03/03/2011,17:00:00,1160.0,1185.75,1158.75,1183.5,2361733,2887515
03/04/2011,17:00:00,1183.5,1188.25,1165.0,1174.0,2944659,2894251
03/07/2011,17:00:00,1174.0,1181.0,1156.5,1162.75,2702700,2897776
03/08/2011,17:00:00,1162.5,1179.5,1159.75,1173.75,2209200,2798341
03/09/2011,17:00:00,1173.5,1178.75,1165.25,1169.25,2196273,2614534
03/10/2011,17:00:00,1169.75,1171.25,1146.5,1148.25,1844627,945951
03/11/2011,17:00:00,1147.75,1162.5,1137.25,1160.0,2185696,1310121
03/14/2011,17:00:00,1157.25,1159.5,1139.75,1149.25,2788791,1639297
03/15/2011,17:00:00,1149.25,1152.0,1109.75,1134.0,3992352,2134386
03/16/2011,17:00:00,1133.5,1142.25,1102.0,1112.75,4540281,2518402
03/17/2011,17:00:00,1113.5,1133.25,1100.0,1127.5,2979478,2586929
03/18/2011,17:00:00,1127.25,1146.25,1120.25,1133.0,2342198,2565944
03/21/2011,17:00:00,1135.0,1155.0,1133.5,1151.75,1488232,2553822
03/22/2011,17:00:00,1151.25,1155.25,1146.25,1147.0,1441789,2568898
03/23/2011,17:00:00,1146.5,1154.75,1137.75,1150.75,1939892,2587522
03/24/2011,17:00:00,1150.75,1165.5,1148.0,1164.0,1833298,2603534
03/25/2011,17:00:00,1163.25,1173.25,1162.75,1168.75,1651563,2598402
03/28/2011,17:00:00,1168.0,1174.0,1160.75,1161.0,1290490,2631428
03/29/2011,17:00:00,1161.5,1176.5,1159.0,1175.25,1549071,2650848
03/30/2011,17:00:00,1175.0,1186.5,1173.5,1182.75,1407633,2638334
03/31/2011,17:00:00,1183.25,1184.5,1179.25,1179.75,1521964,2647743
04/01/2011,17:00:00,1179.75,1192.5,1179.25,1186.5,1660075,2635255
04/04/2011,17:00:00,1185.75,1191.5,1183.25,1188.0,1273974,2646233
04/05/2011,17:00:00,1188.5,1193.0,1181.75,1185.5,1558287,2675137
