Date,Time,Open,High,Low,Close,Vol,OI
05/10/2018,17:00:00,10710.00000,10870.00000,10495.00000,10545.00000,3063,2015
05/11/2018,17:00:00,10565.00000,10580.00000,9835.00000,10080.00000,4980,2064
05/14/2018,17:00:00,10115.00000,10355.00000,9740.00000,10210.00000,5754,1984
05/15/2018,17:00:00,10190.00000,10305.00000,9890.00000,10010.00000,4222,1872
05/16/2018,17:00:00,9930.00000,10000.00000,9570.00000,9705.00000,4978,1852
05/17/2018,17:00:00,9745.00000,9915.00000,9570.00000,9635.00000,2872,1698
05/18/2018,17:00:00,9680.00000,9730.00000,9370.00000,9685.00000,3390,1596
05/21/2018,17:00:00,9980.00000,10135.00000,9775.00000,9830.00000,2701,1239
05/22/2018,17:00:00,9800.00000,9875.00000,9525.00000,9635.00000,2341,992
05/23/2018,17:00:00,9505.00000,9530.00000,8880.00000,9045.00000,4586,791
05/24/2018,17:00:00,8945.00000,9175.00000,8720.00000,9045.00000,2069,2009
05/25/2018,17:00:00,8970.00000,9120.00000,8775.00000,8885.00000,2069,2009
05/29/2018,17:00:00,8930.00000,9025.00000,8875.00000,8940.00000,5052,2218
05/30/2018,17:00:00,8950.00000,9065.00000,8715.00000,8765.00000,2471,2211
05/31/2018,17:00:00,8780.00000,9105.00000,8780.00000,8990.00000,2102,2328
06/01/2018,17:00:00,8995.00000,9065.00000,8745.00000,8885.00000,2197,2223
06/04/2018,17:00:00,9160.00000,9345.00000,8905.00000,8945.00000,1625,2290
06/05/2018,17:00:00,8960.00000,9115.00000,8805.00000,9070.00000,2069,2363
06/06/2018,17:00:00,9050.00000,9140.00000,8930.00000,8985.00000,1450,2345
06/07/2018,17:00:00,9140.00000,9225.00000,9085.00000,9150.00000,1437,2460
06/08/2018,17:00:00,9115.00000,9150.00000,8985.00000,9100.00000,1301,2432
06/11/2018,17:00:00,8565.00000,8565.00000,8055.00000,8195.00000,3861,2351
06/12/2018,17:00:00,8215.00000,8335.00000,7870.00000,7945.00000,3875,2305
06/13/2018,17:00:00,7915.00000,8065.00000,7545.00000,7715.00000,5146,2428
06/14/2018,17:00:00,7720.00000,8150.00000,7695.00000,8080.00000,4461,2294
06/15/2018,17:00:00,8115.00000,8115.00000,7885.00000,7975.00000,2485,2348
06/18/2018,17:00:00,7940.00000,8230.00000,7785.00000,8140.00000,2794,2258
06/19/2018,17:00:00,8155.00000,8285.00000,8095.00000,8180.00000,1563,2135
06/20/2018,17:00:00,8150.00000,8260.00000,7990.00000,8190.00000,2108,2123
06/21/2018,17:00:00,8150.00000,8225.00000,8115.00000,8155.00000,1135,2036
06/22/2018,17:00:00,8150.00000,8180.00000,7405.00000,7610.00000,3832,1950
06/25/2018,17:00:00,7595.00000,7790.00000,7510.00000,7690.00000,4762,1420
06/26/2018,17:00:00,7700.00000,7720.00000,7565.00000,7605.00000,3173,1029
06/27/2018,17:00:00,7655.00000,7655.00000,7420.00000,7605.00000,3229,725
06/28/2018,17:00:00,7610.00000,7650.00000,7455.00000,7535.00000,521,1712
06/29/2018,17:00:00,7365.00000,7400.00000,7225.00000,7335.00000,2512,1997
07/02/2018,17:00:00,7745.00000,8150.00000,7730.00000,8095.00000,3977,1956
07/03/2018,17:00:00,8115.00000,8130.00000,8000.00000,8050.00000,1627,2075
07/05/2018,17:00:00,8065.00000,8265.00000,7870.00000,7975.00000,6739,2208
07/06/2018,17:00:00,7960.00000,8110.00000,7900.00000,8035.00000,2038,2253
07/09/2018,17:00:00,8215.00000,8230.00000,8115.00000,8165.00000,1765,2172
07/10/2018,17:00:00,8165.00000,8255.00000,7765.00000,7825.00000,3084,2092
07/11/2018,17:00:00,7825.00000,7850.00000,7715.00000,7800.00000,2719,1998
07/12/2018,17:00:00,7825.00000,7835.00000,7580.00000,7630.00000,3076,2023
07/13/2018,17:00:00,7625.00000,7810.00000,7530.00000,7635.00000,3558,2076
07/16/2018,17:00:00,7840.00000,8180.00000,7790.00000,8145.00000,3171,2168
07/17/2018,17:00:00,8135.00000,8940.00000,8125.00000,8775.00000,5582,2106
07/18/2018,17:00:00,8855.00000,9065.00000,8710.00000,8865.00000,6956,2127
07/19/2018,17:00:00,8795.00000,8980.00000,8745.00000,8920.00000,4580,2156
07/20/2018,17:00:00,8905.00000,9170.00000,8740.00000,8810.00000,6978,2134
07/23/2018,17:00:00,8850.00000,9290.00000,8805.00000,9205.00000,8545,2024
07/24/2018,17:00:00,9210.00000,9835.00000,9150.00000,9730.00000,11464,1433
07/25/2018,17:00:00,9725.00000,9960.00000,9495.00000,9615.00000,11553,943
07/26/2018,17:00:00,9730.00000,9780.00000,9590.00000,9735.00000,9284,2193
07/27/2018,17:00:00,9460.00000,9740.00000,9255.00000,9680.00000,9284,2184
07/30/2018,17:00:00,9620.00000,9745.00000,9325.00000,9580.00000,8136,2312
07/31/2018,17:00:00,9600.00000,9680.00000,9120.00000,9210.00000,9415,2338
08/01/2018,17:00:00,9175.00000,9240.00000,8920.00000,9025.00000,9125,2316
08/02/2018,17:00:00,8940.00000,9180.00000,8910.00000,9005.00000,5700,2148
08/03/2018,17:00:00,9005.00000,9040.00000,8750.00000,8850.00000,5700,2144
08/06/2018,17:00:00,8560.00000,8620.00000,8350.00000,8400.00000,5117,2155
08/07/2018,17:00:00,8325.00000,8635.00000,8305.00000,8470.00000,5037,1993
08/08/2018,17:00:00,8235.00000,8265.00000,7585.00000,7810.00000,8099,2057
08/09/2018,17:00:00,7780.00000,8025.00000,7650.00000,7940.00000,6827,2013
08/10/2018,17:00:00,8035.00000,8085.00000,7585.00000,7870.00000,6444,2017
08/13/2018,17:00:00,7885.00000,8035.00000,7615.00000,7710.00000,7804,2035
08/14/2018,17:00:00,7720.00000,7760.00000,7330.00000,7555.00000,6904,2122
08/15/2018,17:00:00,7585.00000,8080.00000,7555.00000,7855.00000,6993,2117
08/16/2018,17:00:00,7880.00000,7955.00000,7665.00000,7885.00000,4378,2071
08/17/2018,17:00:00,7745.00000,8025.00000,7725.00000,7960.00000,4288,2123
08/20/2018,17:00:00,7970.00000,7995.00000,7840.00000,7910.00000,2381,2075
08/21/2018,17:00:00,7875.00000,7950.00000,7685.00000,7905.00000,3319,2051
08/22/2018,17:00:00,7920.00000,8350.00000,7730.00000,7885.00000,5379,1905
08/23/2018,17:00:00,7830.00000,7945.00000,7705.00000,7885.00000,3554,1886
