Date,Time,Open,High,Low,Close,Up,Down
03/12/2008,17:00,1150.25,1158.0,1131.75,1134.0,1111102,1203857
03/13/2008,17:00,1132.5,1146.25,1105.75,1135.25,1139791,1112996
03/14/2008,17:00,1134.75,1157.75,1097.25,1114.25,1740692,1757972
03/17/2008,17:00,1111.25,1135.75,1074.75,1101.5,1628490,1577715
03/18/2008,17:00,1104.75,1156.25,1101.0,1155.0,1423163,1279417
03/19/2008,17:00,1155.25,1165.5,1118.5,1119.5,1398321,1518377
03/20/2008,17:00,1119.0,1154.25,1108.25,1146.75,1077171,1044879
03/24/2008,17:00,1148.0,1183.25,1147.0,1172.75,721414,706050
03/25/2008,17:00,1173.25,1181.25,1163.75,1172.25,858965,864141
03/26/2008,17:00,1172.0,1172.5,1155.75,1157.25,787089,814905
03/27/2008,17:00,1157.25,1169.75,1148.25,1153.0,1002351,1012517
03/28/2008,17:00,1152.0,1162.25,1135.5,1140.25,743801,774045
03/31/2008,17:00,1140.75,1152.25,1131.25,1144.5,820271,804993
04/01/2008,17:00,1143.75,1194.25,1137.5,1192.25,1246844,1071317
04/02/2008,17:00,1193.75,1201.75,1184.75,1189.75,900635,923857
04/03/2008,17:00,1190.5,1199.5,1181.25,1195.25,818986,773533
04/04/2008,17:00,1195.0,1209.75,1186.0,1193.75,970081,945381
04/07/2008,17:00,1194.25,1210.75,1188.75,1190.75,732185,754814
04/08/2008,17:00,1191.75,1194.0,1184.0,1192.25,696534,699700
04/09/2008,17:00,1194.75,1199.25,1173.0,1181.5,899883,928953
04/10/2008,17:00,1181.75,1191.0,1173.0,1185.75,896111,888973
04/11/2008,17:00,1186.5,1190.75,1153.5,1157.25,979667,1036534
04/14/2008,17:00,1157.0,1159.0,1147.5,1153.25,744940,720313
04/15/2008,17:00,1152.0,1166.25,1146.75,1163.5,881141,884940
04/16/2008,17:00,1165.5,1194.0,1159.0,1192.0,1059989,1012827
04/17/2008,17:00,1191.0,1198.0,1180.25,1195.75,881473,879105
04/18/2008,17:00,1196.5,1220.0,1191.75,1209.0,992890,966431
04/21/2008,17:00,1210.75,1215.75,1202.5,1208.5,624727,640714
04/22/2008,17:00,1206.5,1212.0,1192.5,1203.5,864220,889481
04/23/2008,17:00,1204.25,1211.5,1194.5,1196.0,920519,929303
04/24/2008,17:00,1198.0,1221.0,1189.75,1205.5,1107015,1012260
04/25/2008,17:00,1206.0,1222.5,1202.25,1219.25,784583,767654
04/28/2008,17:00,1220.5,1226.5,1215.25,1219.75,580920,578634
04/29/2008,17:00,1219.5,1220.75,1208.75,1211.5,711746,733284
04/30/2008,17:00,1211.5,1228.75,1204.0,1205.75,935482,980089
05/01/2008,17:00,1206.75,1234.0,1204.75,1233.25,1003040,894853
05/02/2008,17:00,1233.0,1248.75,1227.75,1238.0,971286,948342
05/05/2008,17:00,1235.25,1239.0,1222.5,1230.5,620222,626292
05/06/2008,17:00,1231.0,1244.5,1218.75,1243.0,970678,925871
05/07/2008,17:00,1241.75,1245.75,1212.25,1217.0,908061,1029946
05/08/2008,17:00,1216.5,1224.75,1211.0,1212.25,862064,845033
05/09/2008,17:00,1212.0,1215.0,1203.5,1210.75,788198,820339
05/12/2008,17:00,1209.25,1226.75,1208.0,1226.0,834343,737405
05/13/2008,17:00,1225.5,1232.5,1218.25,1224.75,770699,754149
05/14/2008,17:00,1225.25,1243.25,1220.5,1228.75,873168,857085
05/15/2008,17:00,1228.5,1247.25,1228.0,1244.75,922381,820344
05/16/2008,17:00,1245.75,1251.25,1236.5,1247.5,869613,911939
05/19/2008,17:00,1247.0,1262.75,1243.5,1250.25,904211,881149
05/20/2008,17:00,1250.75,1251.0,1230.75,1238.0,919748,934460
05/21/2008,17:00,1238.0,1242.75,1209.75,1214.25,1129048,1238489
05/22/2008,17:00,1216.25,1221.5,1212.0,1214.75,875119,846263
05/23/2008,17:00,1215.0,1216.75,1194.5,1195.75,738302,775900
05/26/2008,17:00,1196.0,1199.25,1194.25,1196.5,13002,12785
05/27/2008,17:00,1196.75,1209.5,1192.25,1206.25,784455,759451
05/28/2008,17:00,1206.75,1215.0,1199.5,1211.75,868610,837459
05/29/2008,17:00,1210.75,1228.75,1208.5,1220.5,871968,832121
05/30/2008,17:00,1220.25,1226.75,1216.75,1222.5,576918,589440
06/02/2008,17:00,1222.5,1222.75,1199.25,1207.5,830734,859202
06/03/2008,17:00,1207.25,1215.25,1191.0,1199.25,1041631,1074557
06/04/2008,17:00,1199.5,1210.25,1192.75,1198.75,1017573,1032595
06/05/2008,17:00,1198.5,1227.75,1197.75,1226.75,1035986,940960
06/06/2008,17:00,1226.75,1232.75,1180.25,1181.0,1263195,1428472
06/09/2008,17:00,1180.5,1193.25,1172.25,1184.75,1037420,1055214
06/10/2008,17:00,1184.75,1189.0,1169.0,1177.25,1064312,1008257
06/11/2008,17:00,1176.75,1185.25,1156.5,1158.5,1106834,1212927
06/12/2008,17:00,1156.5,1175.0,1152.75,1163.25,658098,641122
06/13/2008,17:00,1163.0,1183.0,1158.5,1178.75,938002,870497
06/16/2008,17:00,1178.5,1187.0,1171.0,1178.75,697068,694176
06/17/2008,17:00,1178.75,1191.5,1170.75,1172.75,812868,859190
06/18/2008,17:00,1171.75,1175.0,1154.0,1157.75,1005768,1045070
06/19/2008,17:00,1157.25,1169.25,1151.75,1162.0,1059450,1071320
06/20/2008,17:00,1162.5,1162.75,1134.75,1138.0,1118166,1182494
06/23/2008,17:00,1140.25,1147.25,1134.0,1136.0,742666,720700
